Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
carol,0,2,8,29,35,20,6,94,100,4.81
right,0,1,12,36,29,4,18,82,100,4.77
rocky,0,1,12,32,32,14,9,91,100,4.73
loyal,0,2,14,31,28,14,11,89,100,4.709999999999999
smile,0,0,18,25,35,16,6,94,100,4.67
coach,0,1,7,25,42,21,4,96,100,4.87
azure,0,1,11,25,44,18,1,99,100,4.700000000000001
daddy,0,0,6,11,18,23,42,58,100,5.84
beret,0,3,7,36,33,16,5,95,100,4.67
merry,0,0,4,22,24,18,32,68,100,5.5200000000000005
while,0,0,9,32,32,22,5,95,100,4.82
spurt,0,2,16,39,34,6,3,97,100,4.3500000000000005
bunch,0,0,9,25,29,17,20,80,100,5.14
chime,0,2,10,20,37,20,11,89,100,4.960000000000001
viola,0,1,9,37,33,18,2,98,100,4.64
binge,0,3,6,22,27,15,27,73,100,5.26
truth,0,2,8,43,31,12,4,96,100,4.55
snail,0,1,15,36,19,19,10,90,100,4.7
skunk,0,1,11,22,42,18,6,94,100,4.83
knelt,0,2,18,54,21,5,0,100,100,4.09
uncle,0,1,15,52,23,9,0,100,100,4.24
agent,0,2,12,28,35,17,6,94,100,4.71
leaky,0,1,11,25,28,18,17,83,100,5.02
graph,0,2,15,28,35,16,4,96,100,4.6000000000000005
adult,0,1,21,40,34,4,0,100,100,4.19
mercy,0,1,17,23,26,21,12,88,100,4.85
splat,0,0,13,50,29,7,1,99,100,4.33
occur,0,2,14,48,35,1,0,100,100,4.1899999999999995
smirk,0,2,10,39,37,12,0,100,100,4.47
given,0,4,6,34,35,15,6,94,100,4.69
tempo,0,2,16,38,33,9,2,98,100,4.37
cause,0,1,12,27,38,15,7,93,100,4.75
retry,0,1,14,29,33,18,5,95,100,4.68
pique,0,2,11,26,31,17,13,87,100,4.89
noble,0,2,15,33,26,15,9,91,100,4.640000000000001
mason,0,3,18,51,20,6,2,98,100,4.14
phony,0,1,15,35,36,13,0,100,100,4.45
grail,0,1,8,28,32,20,11,89,100,4.950000000000001
bleak,0,2,18,37,21,18,4,96,100,4.470000000000001
noise,0,0,13,38,26,14,9,91,100,4.68
until,0,1,15,35,40,9,0,100,100,4.41
ardor,0,3,15,30,32,19,1,99,100,4.5200000000000005
mania,0,0,10,18,35,24,13,87,100,5.12
flare,0,2,7,19,33,25,14,86,100,5.140000000000001
