Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
azure,0,3,17,34,28,14,4,96,1351187,4.45
daddy,0,1,6,24,34,23,12,88,1323046,5.08
beret,0,2,20,44,27,6,1,99,1294898,4.180000000000001
merry,0,2,16,34,30,14,4,96,1427647,4.5
while,0,5,29,43,18,4,1,99,1492411,3.9
spurt,0,4,41,44,9,1,1,99,1487893,3.6500000000000004
bunch,0,2,16,36,28,14,4,96,1478194,4.48
chime,0,9,39,36,13,2,1,99,1514125,3.63
viola,0,3,17,35,32,11,2,98,1226429,4.37
binge,0,2,19,39,27,11,2,98,1302075,4.319999999999999
truth,0,5,34,37,17,6,1,99,1448525,3.88
snail,0,9,43,34,11,2,1,99,1500066,3.57
skunk,0,1,14,42,32,9,2,98,1496823,4.3999999999999995
knelt,0,3,25,40,23,7,2,98,1555345,4.12
uncle,0,3,30,46,17,3,1,99,1371060,3.9
agent,0,6,34,38,16,5,1,99,1281280,3.8299999999999996
leaky,0,2,15,34,30,15,4,96,1362354,4.53
graph,0,3,23,38,24,10,2,98,1454363,4.209999999999999
adult,0,12,28,40,16,3,1,99,1408213,3.7300000000000004
mercy,0,3,18,40,26,10,3,97,1436742,4.31
splat,0,7,31,41,17,3,1,99,1771321,3.81
occur,0,3,20,46,24,5,2,98,1319639,4.14
smirk,0,3,24,45,23,4,1,99,1362161,4.04
given,0,2,18,37,29,12,2,98,1282273,4.369999999999999
tempo,0,3,27,43,21,5,1,99,1354640,4.01
cause,0,6,30,37,19,6,2,98,1447710,3.95
retry,0,2,17,42,29,8,2,98,1400403,4.3
pique,0,2,17,38,29,11,3,97,1285632,4.390000000000001
noble,0,4,25,38,22,9,2,98,1332266,4.13
mason,0,3,31,40,20,5,1,99,1293349,3.9599999999999995
phony,0,2,34,46,15,2,1,99,1325224,3.8400000000000003
grail,0,3,22,36,28,9,2,98,1495127,4.239999999999999
bleak,0,4,22,37,28,8,1,99,1467051,4.17
noise,1,7,37,34,16,4,1,99,1446880,3.73
until,0,5,31,42,17,4,1,99,1410088,3.8699999999999997
ardor,0,6,21,29,26,14,4,96,1340898,4.33
mania,0,1,15,37,31,13,3,97,1260692,4.49
flare,0,8,25,33,23,9,2,98,1528315,4.06
